#http://us.download.nvidia.com/XFree86/FreeBSD-x86_64/304.43/README/supportedchips.html
#NVIDIA GPU product	Device PCI ID*	VDPAU features
GeForce 6800 Ultra	0x0040	-
GeForce 6800	0x0041	-
GeForce 6800 LE	0x0042	-
GeForce 6800 XE	0x0043	-
GeForce 6800 XT	0x0044	-
GeForce 6800 GT	0x0045	-
GeForce 6800 GT	0x0046	-
GeForce 6800 GS	0x0047	-
GeForce 6800 XT	0x0048	-
GeForce 7800 GTX	0x0090	-
GeForce 7800 GTX	0x0091	-
GeForce 7800 GT	0x0092	-
GeForce 7800 GS	0x0093	-
GeForce 7800 SLI	0x0095	-
GeForce Go 7800	0x0098	-
GeForce Go 7800 GTX	0x0099	-
GeForce 6800 GS	0x00C0	-
GeForce 6800	0x00C1	-
GeForce 6800 LE	0x00C2	-
GeForce 6800 XT	0x00C3	-
GeForce Go 6800	0x00C8	-
GeForce Go 6800 Ultra	0x00C9	-
GeForce 6600 GT	0x00F1	-
GeForce 6600	0x00F2	-
GeForce 6200	0x00F3	-
GeForce 6600 LE	0x00F4	-
GeForce 7800 GS	0x00F5	-
GeForce 6800 GS	0x00F6	-
GeForce 6800 Ultra	0x00F9	-
GeForce 6600 GT	0x0140	-
GeForce 6600	0x0141	-
GeForce 6600 LE	0x0142	-
GeForce 6600 VE	0x0143	-
GeForce Go 6600	0x0144	-
GeForce 6610 XL	0x0145	-
GeForce Go 6600 TE/6200 TE	0x0146	-
GeForce 6700 XL	0x0147	-
GeForce Go 6600	0x0148	-
GeForce Go 6600 GT	0x0149	-
GeForce 6200	0x014F	-
GeForce 6500	0x0160	-
GeForce 6200 TurboCache(TM)	0x0161	-
GeForce 6200SE TurboCache(TM)	0x0162	-
GeForce 6200 LE	0x0163	-
GeForce Go 6200	0x0164	-
GeForce Go 6400	0x0166	-
GeForce Go 6200	0x0167	-
GeForce Go 6400	0x0168	-
GeForce 6250	0x0169	-
GeForce 7100 GS	0x016A	-
GeForce 8800 GTX	0x0191	-
GeForce 8800 GTS	0x0193	-
GeForce 8800 Ultra	0x0194	-
Tesla C870	0x0197	-
GeForce 7350 LE	0x01D0	-
GeForce 7300 LE	0x01D1	-
GeForce 7550 LE	0x01D2	-
GeForce 7300 SE/7200 GS	0x01D3	-
GeForce Go 7200	0x01D6	-
GeForce Go 7300	0x01D7	-
GeForce Go 7400	0x01D8	-
GeForce 7500 LE	0x01DD	-
GeForce 7300 GS	0x01DF	-
GeForce 6200	0x0221	-
GeForce 6200 A-LE	0x0222	-
GeForce 6150	0x0240	-
GeForce 6150 LE	0x0241	-
GeForce 6100	0x0242	-
GeForce Go 6150	0x0244	-
GeForce Go 6100	0x0247	-
GeForce 7900 GTX	0x0290	-
GeForce 7900 GT/GTO	0x0291	-
GeForce 7900 GS	0x0292	-
GeForce 7950 GX2	0x0293	-
GeForce 7950 GX2	0x0294	-
GeForce 7950 GT	0x0295	-
GeForce Go 7950 GTX	0x0297	-
GeForce Go 7900 GS	0x0298	-
GeForce 7600 GT	0x02E0	-
GeForce 7600 GS	0x02E1	-
GeForce 7300 GT	0x02E2	-
GeForce 7900 GS	0x02E3	-
GeForce 7950 GT	0x02E4	-
GeForce 7650 GS	0x038B	-
GeForce 7650 GS	0x0390	-
GeForce 7600 GT	0x0391	-
GeForce 7600 GS	0x0392	-
GeForce 7300 GT	0x0393	-
GeForce 7600 LE	0x0394	-
GeForce 7300 GT	0x0395	-
GeForce Go 7700	0x0397	-
GeForce Go 7600	0x0398	-
GeForce Go 7600 GT	0x0399	-
GeForce 6150SE nForce 430	0x03D0	-
GeForce 6100 nForce 405	0x03D1	-
GeForce 6100 nForce 400	0x03D2	-
GeForce 6100 nForce 420	0x03D5	-
GeForce 7025 / nForce 630a	0x03D6	-
GeForce 8600 GTS	0x0400	A
GeForce 8600 GT	0x0401	A
GeForce 8600 GT	0x0402	A
GeForce 8600 GS	0x0403	A
GeForce 8400 GS	0x0404	A
GeForce 9500M GS	0x0405	A
GeForce 8300 GS	0x0406	-
GeForce 8600M GT	0x0407	A
GeForce 9650M GS	0x0408	A
GeForce 8700M GT	0x0409	A
GeForce GT 330	0x0410	A
GeForce 8400 SE	0x0420	-
GeForce 8500 GT	0x0421	A
GeForce 8400 GS	0x0422	A
GeForce 8300 GS	0x0423	-
GeForce 8400 GS	0x0424	A
GeForce 8600M GS	0x0425	A
GeForce 8400M GT	0x0426	A
GeForce 8400M GS	0x0427	A
GeForce 8400M G	0x0428	A
GeForce 9400 GT	0x042C	A
GeForce 9300M G	0x042E	A
GeForce 7150M / nForce 630M	0x0531	-
GeForce 7000M / nForce 610M	0x0533	-
GeForce 7050 PV / nForce 630a	0x053A	-
GeForce 7050 PV / nForce 630a	0x053B	-
GeForce 7025 / nForce 630a	0x053E	-
GeForce GTX 295	0x05E0	A
GeForce GTX 280	0x05E1	A
GeForce GTX 260	0x05E2	A
GeForce GTX 285	0x05E3	A
GeForce GTX 275	0x05E6	A
Tesla C1060	0x05E7	A
Tesla T10 Processor	0x05E7 0x0595	A
Tesla T10 Processor	0x05E7 0x068F	A
Tesla M1060	0x05E7 0x0697	A
Tesla M1060	0x05E7 0x0743	A
GeForce GTX 260	0x05EA	A
GeForce GTX 295	0x05EB	A
GeForce 8800 GTS 512	0x0600	A
GeForce 9800 GT	0x0601	A
GeForce 8800 GT	0x0602	A
GeForce GT 230	0x0603	A
GeForce 9800 GX2	0x0604	A
GeForce 9800 GT	0x0605	A
GeForce 8800 GS	0x0606	A
GeForce GTS 240	0x0607	A
GeForce 9800M GTX	0x0608	A
GeForce 8800M GTS	0x0609	A
GeForce GTX 280M	0x060A	A
GeForce 9800M GT	0x060B	A
GeForce 8800M GTX	0x060C	A
GeForce 8800 GS	0x060D	A
GeForce GTX 285M	0x060F	A
GeForce 9600 GSO	0x0610	A
